c x ; y coordenates
0.392;0.654785714
0;-0.05
0.222;-0.1
0.444;-0.1
0.666;-0.1
0.111;-0.1
0.333;-0.1
0.555;-0.1
0.777;-0.1
0.888;0.114692308
0.888;0.329384615
0.888;0.544076923
0.888;0.758769231
0.888;0.973461538
0.888;1.188153846
0.888;1.402846154
0.888;1.617538462
0.888;1.832230769
0.888;2.046923077
0.888;2.261615385
0.888;2.476307692
0.888;0.007346154
0.888;0.222038462
0.888;0.436730769
0.888;0.651423077
0.888;0.866115385
0.888;1.080807692
0.888;1.2955
0.888;1.510192308
0.888;1.724884615
0.888;1.939576923
0.888;2.154269231
0.888;2.368961538
0.888;2.583653846
0.666;2.691
0.444;2.691
0.222;2.691
0.777;2.691
0.555;2.691
0.333;2.691
0.111;2.691
0;2.641
0.3105;1.081928571
0.3105;0.975142857
0.3105;1.188714286
0.3105;1.722642857
0.3105;1.615857143
0.3105;1.829428571
0.3105;1.936214286
0.3105;0.654785714
0.3105;0.761571429
0.3105;0.868357143
0.3105;1.2955
0.3105;1.402285714
0.3105;1.509071429
0.436;0.654785714
0.436;0.761571429
0.436;1.509071429
0.436;1.402285714
0.436;1.615857143
0.436;1.722642857
0.436;1.829428571
0.436;1.936214286
0.436;0.975142857
0.436;0.868357143
0.436;1.188714286
0.436;1.081928571
0.436;1.2955
0.614233333;0.1577
0.399554963;0.250837138
0.618169815;0.345559907
0.358659408;2.358195873
0.142797726;2.27335678
0.160093217;0.233936281
0.142024382;2.449314331
0.590631958;2.395039156
0.1245;0.464916667
0.1245;0.572875
0.1245;0.686803571
0.1245;0.794761905
0.1245;0.908690476
0.1245;1.01664881
0.1245;1.130577381
0.1245;1.238535714
0.1245;1.352464286
0.1245;1.460422619
0.1245;1.57435119
0.1245;1.682309524
0.1245;1.796238095
0.1245;1.904196429
0.1245;2.018125
0.1245;2.126083333
0.697116667;0.07885
0.697116667;0.20335
0.567116667;0.07885
0.699084907;0.421779954
0.699084907;0.297279954
0.566334907;0.421779954
0.616201574;0.251629954
0.324277482;0.374418569
0.457027482;0.374418569
0.508862389;0.298198523
0.329777482;0.125418569
0.459777482;0.125418569
0.506894148;0.204268569
0.303829704;2.225597936
0.436579704;2.225597936
0.439329704;2.474597936
0.309329704;2.474597936
0.195898863;2.18317839
0.071398863;2.216261724
0.250728567;2.315776327
0.071398863;2.324220057
0.071012191;2.520157165
0.201012191;2.520157165
0.071012191;2.412198832
0.250341895;2.403755102
0.142411054;2.361335555
0.27982409;0.242386709
0.210046608;0.11696814
0.204546608;0.36596814
0.080046608;0.332884807
0.080046608;0.224926474
